item_code,item_text,item
1,Little interest or pleasure in doing things,1
2a,Feeling down or depressed,2
2b,Feeling hopeless,3
3a,Trouble falling or staying asleep,4
3b,Sleeping too much,5
4,Feeling tired or having little energy,6
5a,Poor appetite,7
5b,Overeating,8
6a,Feeling bad about yourself,9
6b,Feeling that you are a failure,10
6c,Feeling that you have let yourself down,11
6d,Feeling that you have let your family down,12
7,Trouble concentrating,13
8a,Moving or speaking slowly,14
8b,Fidgety or restless,15
attn_check,I participated in the Olympic Games of 1974.,16
